parameter,component,value,unit,source_type,confidence_level,sensitivity_level,reference,notes
P10_MTTF,trsv,30,years,oreda_analogue,low,high impact,SPE-232388-MS Table 1 P10=30yr (TRSV; CO2 injection analogue); OREDA Handbook (HC service) — ISO 10432 / API 14A; Hardiman et al. 2023 Note C (Peloton WellMaster; 3549 svc-yr; UK/Norway injectors post-1996; no-restore filter): SCSSV AFR=0.009/yr → MTTF≈111yr,OREDA failure rates cover hydrocarbon service TRSVs; CO2 supercritical conditions degrade standard Nitrile/HNBR O-rings — Aflas or PEEK seal required for CO2 service; aligned to SPE-232388-MS P10=30yr (down from 40yr); WellMaster MTTF≈111yr sits above this P10 — SPE value is more conservative and appropriate for CO2 elastomer degradation risk
P90_MTTF,trsv,65,years,expert_judgement,low,medium impact,SPE-232388-MS Table 1 P90=65yr (TRSV); Hardiman et al. 2023 Note C — WellMaster SCSSV MTTF≈111yr (3549 svc-yr) is above this P90 — SPE value adopted as more conservative for CO2 service,Aligned to SPE-232388-MS P90=65yr (down from 90yr); extended life assumes CO2-compatible seal upgrades; WellMaster MTTF=111yr exceeds P90=65yr — difference attributable to CO2 elastomer degradation not captured in HC-service AFR; CO2 thermal cycling from injection temperature vs reservoir temperature adds fatigue not present in HC service
P10_MTTF,tubing,35,years,literature,low,high impact,NORSOK D-010 well integrity standard (design requirement — not a failure rate database); CO2 corrosion studies (Nygaard 2010; Mulders 2006 K-12B); Hardiman et al. 2023 Note C — Peloton WellMaster tubing AFR=0.004/yr per 1000m (7993 svc-yr; UK/Norway post-1996) → for 2000m string: MTTF≈125yr,NORSOK D-010 sets integrity design requirements — it does not publish MTTF statistics; P10=35yr assumes dry supercritical CO2 with CRA or inhibited carbon steel tubulars; field calibration (FIELD_C) shows 2x actual failure rate vs this assumption; wet CO2 contact with connate brine reduces effective P10 to ~15-20yr; confidence downgraded from medium to low based on field evidence
P90_MTTF,tubing,55,years,literature,low,high impact,NORSOK D-010 / CO2 corrosion studies — design standard not reliability database; Hardiman et al. 2023 Note C — WellMaster 2000m string MTTF≈125yr (more optimistic than our P90=55yr — WellMaster does not isolate CO2 corrosion contribution),P90=55yr represents optimistic scenario with fully inhibited corrosion and CO2-grade materials throughout; IEAGHG 2018-08 planned service life data (20-25yr) suggests P90 upper tail is plausible only with best-practice installation; confidence downgraded from medium to low; field calibration from observed operations should replace this value as data accumulates
P10_MTTF,packer,22,years,literature,low,high impact,SPE-232388-MS Table 1 P10=22yr (packer; CO2 injection analogue); Hardiman et al. 2023 Note C (Peloton WellMaster; 15263 svc-yr injection packers post-1996 UK/Norway): AFR=0.002/yr → MTTF≈500yr — see discrepancy note,Aligned to SPE-232388-MS P10=22yr (down from 25yr); supercritical CO2 degrades standard Nitrile and HNBR elastomer seals (bowing / extrusion / swell); CO2 EOR and acid gas injection experience shows packer failures within 5-15yr for standard elastomers; DISCREPANCY: WellMaster MTTF≈500yr is 20x more optimistic — explained by HC-service database not capturing CO2 elastomer degradation; SPE-232388-MS draws on acid gas / CO2 EOR operational failures and is the more appropriate source for CO2 service risk
P90_MTTF,packer,38,years,expert_judgement,low,high impact,SPE-232388-MS Table 1 P90=38yr (packer); Hardiman et al. 2023 Note C — WellMaster injection packer MTTF≈500yr (HC-service; CO2 elastomer degradation not modelled); acid gas injection (H2S/CO2) analogues,Aligned to SPE-232388-MS P90=38yr (down from 50yr); upper tail assumes Aflas or CO2-spec elastomers and high-quality primary set; WellMaster MTTF≈500yr reflects best-case modern HC-service packer — CO2 elastomer penalty not modelled; SPE P90=38yr adopted as it incorporates CO2 EOR operational failure experience
P10_MTTF,gauge,15,years,OREDA,high,low impact,OREDA Handbook Vol. 1 — Subsea equipment,Electronic component reliability well characterised
P90_MTTF,gauge,26,years,OREDA,high,low impact,OREDA Handbook Vol. 1 — Subsea equipment,Includes planned replacement intervals
P10_MTTF,fiber_optics,12,years,expert_judgement,low,low impact,Limited field data for CCS DTS/DAS applications,Connector degradation in CO2 poorly characterised
P90_MTTF,fiber_optics,26,years,expert_judgement,low,low impact,Analogue from geothermal DTS deployments,Few CCS-specific analogues available
P10_MTTF,wellhead,45,years,literature,low,low impact,API 6A / ISO 10423 — qualification and design life standard (not a failure rate database); Hardiman et al. 2023 Note C — Peloton WellMaster subsea wellhead: 0 failures in 5372 svc-yr (no filter) — empirically confirms very low failure rate,API 6A specifies design and test requirements — it does not publish operational MTTF statistics; P10=45yr derived from industry design life assumptions not field failure rate data; CO2 service requires CO2-rated metal-to-metal seals (PEEK/Aflas); annular wellhead seal degradation in CO2 environment poorly characterised
P90_MTTF,wellhead,75,years,literature,low,low impact,API 6A / ISO 10423 design life basis; Hardiman et al. 2023 Note C — WellMaster 0 failures in 5372 svc-yr corroborates wellhead as a non-dominant failure mode,P90=75yr likely conservative upper bound; wellhead typically outlasts production lifecycle; WellMaster zero-failure record (5372yr exposure) supports P90=75yr is in the right direction though the true upper tail may be much longer
P10_MTTF,tree,40,years,literature,low,low impact,API 6A christmas tree qualification standard — not a failure rate database; Hardiman et al. 2023 Note C — Peloton WellMaster subsea XmasTree block: AFR=0.007/yr → MTTF≈143yr (563 svc-yr; no filter — note small dataset),API 6A specifies test requirements for tree valves; WellMaster subsea XmasTree MTTF≈143yr is more optimistic than our mode=55yr; 563 svc-yr is a relatively small sample; CO2 service trees require CO2-rated gate valve seats and stem packing (PEEK/Aflas); confidence downgraded from medium to low
P90_MTTF,tree,70,years,literature,low,low impact,API 6A design life basis; Hardiman et al. 2023 Note C — WellMaster subsea XmasTree MTTF≈143yr (563 svc-yr) sits above our P90=70yr — WellMaster dataset is small and HC-service only,Extended life assumes CO2-spec seals and planned maintenance; WellMaster XmasTree MTTF=143yr > our P90=70yr suggesting our upper tail is conservative; retained as is given small WellMaster XmasTree sample and CO2 gate valve seat degradation risk not captured
P10_MTTF,cement_barrier,50,years,literature,low,high impact,CO2 cement carbonation literature (SPE and IEAGHG studies); SACROC 30yr field evidence; Hardiman et al. 2023 Note C — Peloton WellMaster cement sheath: AFR=0.001/yr (MTTF≈1000yr) — note this is a derived assumption (half of injection packer AFR) not empirical WellMaster data,CO2 carbonation rate highly uncertain; site-specific; WellMaster cement AFR=0.001 is a modelling assumption not a measured failure rate — no empirical database exists for cement sheath MTTF
P90_MTTF,cement_barrier,70,years,case_study,low,high impact,Michigan field evidence (IEAGHG 2018-08 row zonal_isolation_longevity): 1940s-era wells with SCP confirmed not originating from deep reservoir after 70+ years — longest available empirical upper bound for standard Portland cement,Lowered from 120yr to 70yr; 70yr is the longest directly evidenced field data point for zonal isolation longevity; 120yr was a synthetic assumption applicable only to specialty acid-resistant non-Portland formulations — no field evidence supports it for standard cement; high-consequence low-frequency event — model sensitivity to this value is low at 30yr lifecycle horizon; P90=70yr still implies very low failure probability over a 30yr field life
P10_MTTF,casing,60,years,literature,medium,medium impact,NORSOK D-010 casing inspection data; Hardiman et al. 2023 Note C — Peloton WellMaster casing AFR=0.004/yr per 1000m (15506 svc-yr post-2000 UK/Norway) → for 2000m string: MTTF≈125yr,CO2 corrosion below cement; WellMaster 2000m string MTTF≈125yr is above our P10=60yr — values are broadly consistent (same order of magnitude); WellMaster does not model CO2 corrosion below cement line; limited monitoring access
P90_MTTF,casing,150,years,expert_judgement,low,medium impact,Analogue from CO2 EOR fields (Weyburn),Cathodic protection assumed effective; rare failure mode
P10_MTTF,hydrate_control,2,years,literature,medium,high impact,DOE/NETL-2020/2634 Exhibit 3-1 (hydrate formation at high-P/low-T startup),Startup/shutdown-driven; recurs after any injection interruption; infant lifecycle shape
P90_MTTF,hydrate_control,8,years,expert_judgement,medium,medium impact,DOE/NETL-2020/2634 §3.1.1; operator startup procedures,Continuous injection with dehydrated CO2 largely eliminates hydrate risk
P10_MTTF,halite_plugging,5,years,case_study,high,high impact,IEAGHG 2018-08 Sleipner; AquiStore televiewer-confirmed halite [131],Dominant near-wellbore impairment mechanism per Sleipner field evidence; worsens with intermittent injection
P90_MTTF,halite_plugging,15,years,expert_judgement,medium,high impact,AquiStore water-wash remediation experience,Continuous injection and periodic water wash keep halite accumulation manageable
P10_MTTF,carbonate_scaling,10,years,case_study,medium,high impact,Mountaineer CCS II geochemical modelling [124]; DOE/NETL-2020/2634 Exhibit 3-1,Site-dependent — only relevant in carbonate-bearing formations; set penetration_rate below 1.0 for sandstone-dominated sites
P90_MTTF,carbonate_scaling,25,years,expert_judgement,low,medium impact,DOE/NETL-2020/2634 §3.1.1 (CO2-brine-lithology reactions),Slow pore-throat precipitation; progression rate highly uncertain
P10_MTTF,microbial_plugging,15,years,expert_judgement,low,medium impact,DOE/NETL-2020/2634 §3.1.1 (qualitative only — research ongoing as of 2020),No quantitative CCS field data; MTTF is a structured placeholder pending field observations
P90_MTTF,microbial_plugging,35,years,expert_judgement,low,low impact,DOE/NETL-2020/2634 §3.1.1 (qualitative only),Slow bacterial pore occlusion; lowest-confidence MTTF in the model
rig_mobilisation_cost,all,2000000,USD,operator_analogue,medium,high impact,North Sea operator benchmarking data,Includes rig spread / logistics / permits
full_workover_cost,all,2500000,USD,operator_analogue,medium,high impact,North Sea well cost benchmarks,Excludes tubing / packer material costs
deferred_injection_cost,all,50000,USD/day/well,expert_judgement,low,medium impact,CO2 storage revenue proxy,Highly dependent on carbon credit pricing
campaign_threshold,model,5,wells,synthetic_assumption,low,medium impact,No literature reference,Operator scheduling preference
max_deferral_years,model,3,years,synthetic_assumption,low,low impact,No literature reference,Conservative operational buffer
intervention_threshold,model,90,percent,expert_judgement,low,high impact,Reliability engineering practice,No direct literature reference for CCS wells
post_workover_verification_cost,all,200000,USD,expert_judgement,low,medium impact,NZTC/DNV CCS Wells Technology Roadmap 2025 — intervention integrity evaluation section,CBL + casing inspection + pressure test; no standardised CCS cost data available
co2_handling_uplift_factor,all,1.15,multiplier,expert_judgement,low,medium impact,NZTC/DNV CCS Wells Technology Roadmap 2025 — CO2 well control considerations section,Covers CO2-rated BOP and special procedures; no published benchmark for uplift magnitude
detection_prob,cement_barrier,0.25,probability,case_study,low,high impact,PMC10407664 — JPN-1 CCS pilot Indonesia — CBL/acoustic tools failed to detect micro-annulus; temperature logging found 2 leaks at 440m and 881m,0.10 minimal / 0.25 standard / 0.45 comprehensive; comprehensive capped at 0.45 due to documented tool sensitivity floor for sub-threshold leakage rates
detection_prob,casing,0.30,probability,case_study,low,medium impact,PMC10407664 — JPN-1 case study; corrosion rate >2 mm/yr (threshold <2 mm/yr) confirmed by simulation,0.15 minimal / 0.30 standard / 0.45 comprehensive; EM caliper detects wall loss but small leaks fall below tool sensitivity; validates conservative standard-tier value
detection_prob,tubing,0.40,probability,expert_judgement,low,high impact,PMC10407664 — existing J55/K55 casing not suitable for CO2; API Spec 5CRA (CRA tubes) required for new-build CCS,Standard-tier 0.40 assumes caliper + corrosion monitoring; converted wells with non-CRA material should use minimal tier
P10_MTTF,ssv,15,years,literature,low,medium impact,API 14A / NORSOK D-010 — design and functional test standards; no CO2-service SSV MTTF reliability database exists,API 14A specifies functional test requirements not operational MTTF; P10=15yr based on HC service analogue; CO2 service SSVs experience additional thermal cycling from injection temperature differentials and potential hydrate/ice formation on actuation mechanism; confidence downgraded from medium to low
P90_MTTF,ssv,40,years,literature,low,medium impact,API 14A qualification / functional test standard — not a field reliability database,P90=40yr assumes annual functional testing and CO2-compatible seal materials; confidence downgraded from medium to low as no CCS-specific field statistics available
P10_MTTF,casing_valve,20,years,expert_judgement,low,medium impact,Analogue from TRSV and downhole isolation valve data,CCS-specific CIV reliability data largely unavailable
P90_MTTF,casing_valve,55,years,expert_judgement,low,medium impact,No direct CCS field calibration available,Emerging requirement; very limited operational history
P10_MTTF,control_line,10,years,literature,medium,medium impact,OREDA / NORSOK D-010 hydraulic control line data,CO2 environment accelerates seal and fitting degradation
P90_MTTF,control_line,25,years,literature,medium,medium impact,Offshore analogue from HP/HT completions,Inhibited hydraulic fluid and cathodic protection assumed
P10_MTTF,tubing_hanger,30,years,expert_judgement,low,medium impact,Analogue from API 6A wellhead seal qualification; Hardiman et al. 2023 Note C — Peloton WellMaster subsea tubing hanger: 0 failures in 13026 svc-yr (subsea tree types) — empirically very low failure rate,Seal material compatibility with CO2 poorly characterised; WellMaster zero-failure record in 13026 svc-yr is the largest sample available and confirms tubing hanger is a non-dominant workover driver
P90_MTTF,tubing_hanger,70,years,expert_judgement,low,medium impact,Design life analogue from North Sea wellhead programmes; Hardiman et al. 2023 Note C — WellMaster 0 failures in 13026 svc-yr corroborates long upper tail,Low failure rate expected; long tail from robust qualification; zero-failure WellMaster record across 13026yr is consistent with P90=70yr being an appropriate conservative upper bound for seal-related failures
P10_MTTF,injection_flowmeter,8,years,expert_judgement,low,medium impact,NZTC/DNV CCS Wells Technology Roadmap 2025 — flow measurement technology section,CO2 multiphase/supercritical conditions reduce calibration stability; limited field-proven data
P90_MTTF,injection_flowmeter,22,years,expert_judgement,low,medium impact,Analogue from offshore subsea Venturi meters in North Sea,Extended life assumes regular calibration and CO2-rated materials
infant_mortality_window,all,2,years,literature,high,high impact,IEAGHG 2018-08 — CCS operational experience indicates integrity problems tend to emerge within ~2 years when wells operate outside their initial design envelope,Validates bathtub curve infant mortality period (years 1–2 at 1.5× multiplier); strong dependence on cementation quality; applies to all components
observed_leakage_rate,casing,37,percent_of_injectors,literature,high,high impact,IEAGHG 2018-08 — Norwegian North Sea well integrity survey data showing higher leakage rates in injection wells vs production wells,Injection wells more failure-prone than producers; leakage ≠ MTTF functional failure but confirms casing as highest-risk category; supports conservative casing P10_MTTF=60yr floor even for modern CO2-rated materials
observed_leakage_rate,cement_barrier,4.6,percent_of_wells,literature,high,medium impact,IEAGHG 2018-08 — Alberta deep well gas migration survey data (thermal/SAGD operation dominated population — not CO2 storage specific),Cased wells have higher leak rate than drilled/abandoned wells; thermal-operation-dominated population; not directly applicable to CO2 storage but supports cement_barrier as elevated-risk category; use with caution for MTTF calibration
cement_co2_exposure,cement_barrier,30,years,literature,high,high impact,IEAGHG 2018-08 — SACROC Unit (Texas CO2 EOR): Portland cement retained structural integrity and primary seal capacity after 30 years of CO2 exposure; CO2 migration above reservoir confirmed minimal,Most definitive long-term CCS field evidence available; validates P10_MTTF=50yr floor for new CO2-resistant cement design; specialty acid-resistant and non-Portland cements available as upgrade option
dry_co2_corrosion_risk,tubing,low,qualitative,literature,high,high impact,IEAGHG 2018-08 — dry CO2 (>95% purity) in supercritical state has LOW corrosion risk; not more severe than CO2-EOR operations; K-12B Dutch North Sea CO2 field operational experience supports this,Corrosion increases significantly if injected stream contacts water (connate water or free water in cement); base_case tubing P10_MTTF=35yr assumes dry supercritical CO2; high_corrosion scenario (1.8× multiplier) captures wet-contact risk
co2_workover_cost_multiplier,all,2,multiplier_vs_conventional,literature,high,medium impact,IEAGHG 2018-08 — CO2 EOR operational experience: annual O&M including workover costs approximately double compared to conventional O&G wells,Validates co2_handling_uplift_factor=1.15× as conservative for pure CO2 storage; CO2 EOR 2× includes produced fluid handling/separation/recycling/WAG equipment not required for pure storage; pure CCS injection uplift expected between 1× and 2×; 1.15× base is appropriate conservative lower bound
tubular_service_life,tubing,20-25,years,literature,high,high impact,IEAGHG 2018-08 — with modern material improvements and proper handling/installation techniques operators routinely expect tubular service life of 20-25 years in CO2 service,Service life = planned maintenance lifecycle before replacement; distinct from MTTF (functional failure threshold); P10_MTTF=35yr captures 10th-percentile-worst early failures; 20-25yr planned life is consistent with P10 floor at 35yr only if failures are well-controlled — validates conservative tubing assumptions; older handling/installation practice produces shorter service life
corrosion_logging_interval,tubing,4-5,years,literature,high,medium impact,IEAGHG 2018-08 — corrosion logging of tubing every 4-5 years as directed by regulatory agency; US Class II injection well programs confirm 5-year MIT cadence as regulatory baseline,Standard monitoring tier detection_prob=0.40 for tubing reflects 4-5 year corrosion log cadence; comprehensive tier (0.60) reflects more frequent logging; minimal tier (0.20) reflects infrequent or absent caliper runs; regulatory baseline cadence corresponds to standard tier
mit_testing_interval,casing,5,years,operator_analogue,high,medium impact,IEAGHG 2018-08 — US CO2 EOR operations (Permian Basin): MIT testing every 5 years on Class II injection wells; also required after any workover or casing repair before resuming injection,5-year MIT cadence validates detection_prob casing standard=0.30; Bradenhead gauge monitoring between MIT surveys provides interim SCP detection; largest onshore CO2 EOR program in North America provides regulatory compliance baseline
converted_well_zero_incidents,casing_valve,22,years_operational,case_study,medium,medium impact,IEAGHG 2018-08 — Michigan CO2 EOR field case study: majority of injection wells are converted legacy wells; no loss of well control incidents over 20+ years of operation on dry CO2; no cement degradation observed — dry CO2 without water contact is key enabling factor,Dry CO2 without water contact is critical differentiator; legacy_conversion scenario 2.5× multiplier is appropriate for unknown construction history and inadequate pre-conversion assessment; properly assessed converted wells on dry CO2 can achieve near-new integrity; shallow casing issues unrelated to EOR zone have occurred and been remediated without major impact
post_workover_verification_basis,all,mandatory,regulatory_requirement,literature,high,medium impact,IEAGHG 2018-08 — MIT required by US Class II injection well regulation after every workover that disturbs the tubing-packer-casing seal or casing; also required after squeeze cementing and re-completion before CO2 injection can resume,Upgrades post_workover_verification_cost from best practice to documented regulatory obligation; validates cost as unavoidable per-workover expenditure rather than optional; applies to all components disturbed during intervention
cement_bond_index_field,cement_barrier,0.72,index_0_to_1,literature,high,medium impact,IEAGHG 2018-08 — systematic CBL analysis of legacy O&G wells in Michigan and Ohio CO2 storage assessment areas; most wells showed adequate cement quality above the isolation zone; SCP gas in 1940s-era wells confirmed not originating from deep reservoir,Weighted average field cement quality for legacy O&G wells in CO2 storage assessment areas; supports cement_barrier P10_MTTF=50yr floor for wells with confirmed good CBL; standard-tier detection_prob=0.25 reflects tool sensitivity ceiling not cement absence; wells with poor bond index should use minimal tier
injectivity_failure_mechanism,halite_plugging,halite_precipitation,qualitative,case_study,high,high impact,IEAGHG 2018-08 — Sleipner CO2 storage project: halite (NaCl) precipitation from water vaporisation by dry supercritical CO2 confirmed as the dominant near-wellbore injectivity impairment mechanism; solid particle displacement not supported by field evidence,Basis for splitting halite out as its own sub-mode: halite plugging is the primary near-wellbore P10 scenario; high injection rates exacerbate accumulation; standard-tier detection_prob=0.65 appropriate (detectable via wellhead pressure monitoring and injectivity decline); water/brine wash effective remediation; supports P10_MTTF=5yr for halite_plugging
zonal_isolation_longevity,cement_barrier,70,years_minimum,case_study,high,high impact,IEAGHG 2018-08 — 1940s-era Midwest wells: SCP confirmed via isotope analysis to not originate from the deep gas reservoir first penetrated 70+ years prior — demonstrating primary zonal isolation maintained for more than 70 years,Independent field evidence for long-term cement barrier integrity in legacy wells; supports P10_MTTF=50yr floor as conservative for wells with confirmed good cement; SCP may originate from intermediate shallow zones without compromising deep reservoir isolation; complements SACROC 30-year evidence (row 46) with a 70-year longevity data point; shallow gas migration ≠ deep reservoir connectivity
class_ii_noncompliance_rate,casing,5-11,percent_of_wells_texas,literature,medium,low impact,IEAGHG 2018-08 — US EPA Class II CO2 EOR significant noncompliance data (2008-2012): Texas (Permian Basin) showed markedly higher noncompliance rates than other states; highest noncompliance in jurisdiction with highest concentration of active CO2 EOR wells,Population-level operational non-conformance benchmark; high_corrosion scenario (failure_prob_multiplier=1.8) appropriate for Permian Basin analogue; base_case represents well-managed lower-noncompliance jurisdictions; note: noncompliance = regulatory/reporting failures not necessarily mechanical failures — directionally consistent with higher failure rates but not directly convertible to MTTF
control_line_intervention_basis,control_line,full_workover,qualitative,expert_judgement,high,medium impact,Physical constraint: hydraulic control line is strapped to outside of production tubing string and routed through the tubing hanger — the line runs in the tubing-casing annulus and cannot be accessed or replaced without pulling the tubing string; wireline TRSV lock-open is a temporary workaround that bypasses rather than repairs the control line,Corrected from rigless_intervention to full_workover; barrier_class corrected from production to safety (control line is the TRSV actuation pathway — loss of control line = loss of ability to close downhole safety barrier); safety_critical and can_defer also corrected accordingly; post_workover_verification_cost applies after every control-line replacement workover (MIT required before CO2 injection can resume)
fiber_optics_intervention_basis,fiber_optics,full_workover,qualitative,expert_judgement,medium,low impact,Physical constraint: fiber optic cable for DTS/DAS is permanently strapped to the outside of the tubing string and routed through the tubing hanger; the cable cannot be accessed or replaced without pulling the tubing string,full_workover is the correct intervention type for permanent strapped fiber optic installations; can_defer=true retained — monitoring loss is not a safety-critical emergency trigger and loss of DTS/DAS does not directly impair injection operations
tubing_hanger_intervention_basis,tubing_hanger,full_workover,qualitative,expert_judgement,high,medium impact,Physical constraint: primary tubing hanger seal (metal-to-metal in a CCS well) sits at the interface between the tubing string and the wellhead bore — primary seal failure requires pulling the tubing string to access and replace the seal assembly; secondary seal re-energisation via wellhead tooling is a temporary workaround not a repair of the primary barrier; analogous to control_line logic,Corrected from light_intervention to full_workover; light intervention only valid for secondary seal activation (workaround); restoring primary barrier integrity requires full tubing pull; safety_critical=true and can_defer=false retained — tubing hanger primary seal failure is a safety-barrier event requiring immediate response
oreda_hc_service_limitation,all,not_applicable,cross_cutting_note,oreda_analogue,low,high impact,OREDA Handbook (all editions) — data collected from offshore HC production and injection wells in North Sea / Gulf of Mexico / SE Asia,CRITICAL LIMITATION: OREDA covers hydrocarbon service only. CO2 injection is a fundamentally different service environment on three dimensions: (1) Corrosion — supercritical CO2 + formation brine = carbonic acid; HC service corrosion rates do not translate directly; (2) Elastomer compatibility — Nitrile/HNBR degrade in CO2; Aflas/PEEK required; (3) Thermal cycling — CO2 injection temperature vs reservoir temperature creates fatigue cycles absent in HC production. Where OREDA analogues are used in this register they represent the best available starting point only — they should be progressively replaced by CCS-specific field observations as the industry matures. No equivalent of OREDA exists for CCS wells as of 2026.
tubing_field_calibration_evidence,tubing,2.02,calibration_factor,case_study,medium,high impact,Field calibration engine — FIELD_C (Quest analogue; Canada; 4 injectors; 9 years of operation): 2 tubing failures observed vs 1.0 expected from P10_MTTF=35yr assumption,First field calibration data point confirming tubing MTTF assumption is optimistic; observed failure rate is 2× model expectation at 10% confidence (2 events); effective calibration factor = 1.10 (10% MTTF reduction) at current confidence level; as more events accumulate confidence will increase and calibration factor influence will grow; this is the expected outcome when transferring HC-service OREDA analogues to CO2 injection service without elastomer/corrosion adjustment
wellmaster_ukcs_baseline,all,not_applicable,cross_cutting_note,literature,high,high impact,Hardiman et al. 2023 "Deep Geological Storage of CO2 on the UK Continental Shelf: Containment Certainty — Supplementary Note C: Well Analysis Using Peloton WellMaster Database" — WSP / Crondall Energy / GeoEnergy Durham for NSTA (February 2023). Peloton WellMaster: 38yr dataset; 6000 wells; 70000 components; 45000 svc-yr; 34 operators; includes Norwegian CO2 injection wells; filtered post-1996 UK+Norway injectors,Component-level AFR from WellMaster (post-1996 UK+Norway injectors unless noted): SCSSV/TRSV AFR=0.009/yr → MTTF≈111yr (3549 svc-yr); injection packer AFR=0.002/yr → MTTF≈500yr (15263 svc-yr); tubing AFR=0.004/yr per 1000m (7993 svc-yr); cement sheath AFR=0.001/yr (DERIVED as half of packer — not empirical); subsea XmasTree AFR=0.007/yr → MTTF≈143yr (563 svc-yr); injection master valve AFR=0.003/yr → MTTF≈333yr (1624 svc-yr); annulus master valve AFR=0.002/yr → MTTF≈500yr (1468 svc-yr); subsea tubing hanger: 0 failures in 13026 svc-yr; subsea wellhead: 0 failures in 5372 svc-yr; casing AFR=0.004/yr per 1000m (15506 svc-yr). Simulated barrier failure rates for 25yr CO2 injector: primary=0.034/yr; secondary=0.040/yr → combined well leak risk=0.0020/yr (1 in 500 per year). All AFRs from HC-service data with CO2 injection analogue filtering; CO2 elastomer/corrosion effects not separately modelled — introduces optimistic bias for CO2-specific failure modes.
ccs_data_maturity_disclaimer,all,not_applicable,cross_cutting_note,expert_judgement,high,high impact,No single authoritative source; reflects consensus across IEAGHG 2018-08; SPE-232388-MS (2026); Hardiman et al. 2023 Note C; NZTC/DNV CCS Wells Technology Roadmap (2025); OREDA Handbook,CRITICAL DISCLAIMER: CCS well integrity is a relatively new discipline with limited field data. As of 2026 the global CCS injection fleet numbers fewer than 50 commercial-scale wells with CO2 injection history spanning at most ~30 years (Sleipner 1996). No CCS-specific equivalent of OREDA exists. No publicly available CCS-only MTTF database exists. All MTTF values in this register are HC-service analogues adjusted by expert judgement or drawn from pilot-scale operational experience. The calibration score of ~38/100 (Pre-FEED) accurately reflects this data maturity. Assumptions should be treated as working estimates subject to revision as: (1) field calibration accumulates (FIELD_C and future fields); (2) CCS-specific reliability databases emerge; (3) longer operational histories become available from Sleipner / Quest / Northern Lights / Boundary Dam. Users should not interpret low-confidence MTTF values as validated engineering data — they are structured expert judgement with documented uncertainty bounds.
spe_mttf_illustrative_disclaimer,all,not_applicable,cross_cutting_note,literature,high,medium impact,SPE-232388-MS (Magalhaes & Graterol; SLB; presented Oman OPES May 2026). Page 5: 'The MTTF values utilized in this study are for the sole purpose of validating the model and testing the stochastic framework. Despite best efforts to use representative parameters these values are illustrative only and should not be used as references or design bases for specific CCS projects.' Page 3: infant mortality and wear-out phases explicitly excluded — SPE model assumes constant failure rate (useful life only).,CRITICAL: SPE-232388-MS Table 1 values (TRSV P10=30/P90=65yr; Packer P10=22/P90=38yr; Tubing P10=35/P90=55yr) are (1) explicitly illustrative per the authors and (2) calibrated for a constant-failure-rate model with no bathtub curve — SPE assumes commissioning eliminates infant mortality and MMV surveillance catches wear-out before functional failure. This tool applies a bathtub curve multiplier (1.5x infant mortality; 1.0x useful life; up to 1.8x wear-out) on top of those useful-life-only values introducing a systematic conservative bias of approximately 6% over a 30-year horizon relative to SPE's own predictions with the same inputs. Peloton WellMaster AFR values (Hardiman et al. 2023 Note C) are lifecycle-averaged (observed failures / total service-years across all phases) and are a more coherent input for a bathtub-curve model. SPE Table 1 values are retained as secondary cross-checks and for CO2-specific failure modes (particularly packer elastomers) where WellMaster HC-service data is known to be optimistic — but should not be cited as validated CCS field reliability data.
P10_MTTF,annular_pressure_monitor,10,years,expert_judgement,low,low impact,DOE/NETL-2020/2634 §3.1.2; UIC Class VI 40 CFR §146.89; analogue from wellhead pressure gauge reliability (OREDA HC service),Wellhead-mounted pressure transducer in CO2 service; limited CCS-specific failure rate data; P10=10yr conservative for CO2-compatible sensor degradation
P90_MTTF,annular_pressure_monitor,25,years,expert_judgement,low,low impact,Analogue from offshore permanent downhole gauge service life; assumes CO2-rated materials and annual calibration,Extended life with regular calibration and CO2-compatible seal materials
detection_prob,annular_pressure_monitor,0.85,probability,expert_judgement,medium,low impact,SCP/APB is a surface-observable signal — pressure gauge reads directly; high detection prob reflects continuous monitoring at wellhead,Detection can fail if gauge seal degrades or if sub-threshold micro-annulus pressure is below gauge sensitivity
cement_barrier_detection_boost,annular_pressure_monitor,0.60,probability,literature,medium,high impact,DOE/NETL-2020/2634 §3.1.2: annular pressure monitoring is the primary early-warning mechanism for cement integrity loss — SCP appears before CO2 reaches shallow formations; effective detection rises from 0.25 (standard) to 0.60 with APM functioning,Boost is conditional on APM not having failed in that simulation-year; below-threshold micro-annuli (PMC10407664 JPN-1) may still evade detection
casing_detection_boost,annular_pressure_monitor,0.50,probability,literature,medium,medium impact,DOE/NETL-2020/2634 §3.1.2; API RP 90 (annular casing pressure management); effective casing detection rises from 0.30 (standard) to 0.50 with APM functioning,APB from casing breach is detectable at surface; corrosion-induced wall-thinning without through-wall failure may not generate detectable SCP
